"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","61.60","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 17 Apr 16","58.18","17-Apr-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 23 May to 22 Jun 16","396.70","22-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 27 Jun to 26 Jul 16","1,174.54","26-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","785.08","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","5,298.01","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Printing and Communications","From 1 July 2016","Po Box 9168 rental credit 1 Jul 16","-105.45","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","4,500 Personalised letterhead stationery 2 Jun 16","777.00","02-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Apr to 27 Jun 16","1.55","27-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Apr to 27 Jun 16","478.49","27-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","2 Laminating pouch 3 Jun 16","29.99","03-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","0.80","27-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","108.93","27-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","-48.04","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","67.10","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","92.00","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line 1 Jul 16","-37.09","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line 1 Jul 16","117.73","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line 1 Jul 16","95.45","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones directory charges 1 Jan to 31 Dec 16","-3,936.90","31-Dec-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones directory charges 1 Jan to 1 Jul 16","1,974.61","01-Jul-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones directory charges 23 Mar 16","995.00","23-Mar-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones 26 Jun 16","275.88","26-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office fax 26 Jun 16","32.14","26-Jun-2016","","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","-18.00*","10-Jun-2016","10 Jun 16","10 Jun 16","Melbourne","0","379.00",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","283.00","15-Jun-2016","15 Jun 16","15 Jun 16","Geelong","1","283.00",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","379.00","22-Jun-2016","22 Jun 16","22 Jun 16","Melbourne","1","379.00",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","258.00","27-Jun-2016","27 Jun 16","27 Jun 16","Moorabbin","1","258.00",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","758.00","28-Jun-2016","28 Jun 16","29 Jun 16","Melbourne","2","379.00",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","","","01-Jul-2016","*","","","","",""
"Ricky Muir","Senator","","Victoria","Australian Motoring Enthusiast Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","","","01-Jul-2016","","Adjustment by Senator.","","","",""
